sector,label,gross_output_bn,value_added_bn,final_demand_bn,va_share,domar_weight,final_demand_share,leontief_row_mult,domar_leontief_mult
TEXTILE,Textile mills and textile product mills,91.0,32.0,39.789438153075274,0.0017176596886741813,0.004884594739667203,0.0020118405407551043,1.6311617098898386,0.007967563907674466
APPAREL,Apparel and leather and allied products,66.0,27.0,52.52962603004357,0.0014492753623188406,0.003542673107890499,0.0026560121515507833,1.0634585302587478,0.0037674859365044206
PAPER,Paper products,187.0,68.0,43.753801123180125,0.0036500268384326356,0.010037573805689749,0.002212287355581738,1.8146450978843933,0.018214634101147695
PRINT,Printing and related support activities,96.0,42.0,76.43296682446928,0.0022544283413848632,0.0051529790660225444,0.003864617055312013,1.092151727488217,0.005627834988667141
PETRO,Petroleum and coal products,763.0,104.0,368.12438628642536,0.0055823939881910895,0.040955448201825013,0.01861316969398781,3.861396497740152,0.1581452242499053
CHEM,Chemical products,783.0,287.0,231.39795760344055,0.015405260332796565,0.042028985507246375,0.011699984060180853,3.355754224548901,0.14103894566944655
PLASTIC,Plastics and rubber products,267.0,93.0,65.58252756392068,0.00499194847020934,0.014331723027375202,0.0033159952450368324,1.6632629471081057,0.023837423879649183
WHOLE,Wholesale trade,1683.0,1063.0,1183.3064137750216,0.057058507783145467,0.09033816425120773,0.05983054614165562,2.934838228616692,0.26512789794749825
RETAIL,Retail trade,1382.0,1003.0,1095.4206178856903,0.053837895866881376,0.07418142780461622,0.05538684913727811,2.3472812358180644,0.17412467353196806
AIRTRANS,Air transportation,237.0,113.0,132.3003511719608,0.0060654857756307036,0.012721417069243157,0.006689393527496094,1.3652311585991188,0.01736767496446544
RAILTRANS,Rail transportation,96.0,52.0,31.283426987231593,0.0027911969940955447,0.0051529790660225444,0.001581758114415609,1.3891670593824537,0.007158348776205881
WATERTRANS,Water transportation,51.0,22.0,0.0,0.0011808910359634996,0.0027375201288244765,0.0,1.1507458239675157,0.003150189856271782
TRUCK,Truck transportation,382.0,184.0,186.12330444237642,0.009876543209876543,0.02050456253354804,0.009410799117492357,1.5982630991818128,0.032771685662235775
TRANSIT,Transit and ground passenger transportation,66.0,37.0,52.54043665079528,0.001986044015029522,0.003542673107890499,0.0026565587600506403,1.0632844234108998,0.0037668691328566497
PIPE,Pipeline transportation,66.0,32.0,0.0,0.0017176596886741813,0.003542673107890499,0.0,2.011112883879321,0.007124715530651379
OTHERTRANS,Other transportation and support activities,132.0,57.0,36.03894753124452,0.0030595813204508855,0.007085346215780998,0.0018222075770602461,1.3365977303676455,0.009470257670881868
WAREHOUSE,Warehousing and storage,107.0,57.0,9.202968153140176,0.0030595813204508855,0.005743424584004294,0.00046532208759862936,1.2525176356467422,0.007193740580472433
PUBLISH,Publishing industries (including software),382.0,207.0,115.73896958902867,0.011111111111111112,0.02050456253354804,0.0058520140512824375,1.832259778565991,0.03756968520731125
MOVIE,Motion picture and sound recording industries,96.0,57.0,76.46863453194428,0.0030595813204508855,0.0051529790660225444,0.003866420492184329,1.0917463433330759,0.005625746052602001
BROADCAST,Broadcasting and telecommunications,623.0,337.0,461.2283941502544,0.01808910359634997,0.03344068706387547,0.023320710846155508,1.6665324601652833,0.055729990482177756
INFODATA,Information and data processing services,197.0,123.0,156.99102861591675,0.006602254428341385,0.01057434245840043,0.007937807884827725,1.1888603495134207,0.012571416470968539
CREDIT,"Federal Reserve banks, credit intermediation",953.0,613.0,645.1919266448506,0.03290391841116479,0.05115405260332796,0.0326223071961543,2.1553946722601105,0.11025717244572653
