sector,label,delta_p_pct,delta_y_pct,supply_shock,demand_shock,va_share,domar_weight,leontief_multiplier,supply_contribution_gdp_pct,demand_contribution_gdp_pct,total_contribution_gdp_pct,bf_supply_contrib_pp,bf_demand_contrib_pp,bf_total_contrib_pp
SLGOV,State and local general government,0.0,-4.0,-0.13333333333333333,-0.19999999999999998,0.08195494574548029,0.11804722760662817,1.0,-0.13255737790315483,-0.19526240507876638,-0.32781978298192116,-1.5739630347550424,-2.3185115195615906,-3.8924745543166326
AMUSE,"Amusements, gambling, and recreation industries",-51.402443311259674,-54.087644005652805,0.2435862130843327,-0.8145113442551123,0.004661230403377478,0.008184001311995008,1.0411475034677486,-0.06481150264495886,-0.18730346804124753,-0.2521149706862064,0.2075537842473576,-0.5998247534481248,-0.39227096920076726
PERFORM,"Performing arts, spectator sports, museums",-80.0,-44.435340892291094,0.5037643940513927,-1.0468630049571728,0.0056395160654520516,0.009388160353910432,1.3440808021391266,-0.13498511128252913,-0.11560870755338498,-0.25059381883591414,0.6356723852980593,-0.5444249531925791,0.09124743210548016
MOTVEH,"Motor vehicles, bodies, trailers, and parts",3.444680857013569,-25.126425334401496,-0.16007893524214317,-0.2168174447738793,0.009045469298241238,0.03759267101314912,2.014611008116676,-0.16619971121544383,-0.061080597721435745,-0.22728030893687956,-1.2123515545303827,-0.44555527237490467,-1.6579068269052872
RENTAL,Rental and leasing services,-2.0,-19.8037116033497,-0.0790185580167485,-0.24004124003721886,0.011394574625648418,0.019637733251411268,2.392661455868633,-0.1905940489311312,-0.035060820798056475,-0.22565486972918763,-0.37128013223496237,-0.06829901696916257,-0.43957914920412494
MISCPROF,"Misc. professional, scientific, and technical svcs",-9.990032550247246,-4.7295684469212,0.08413509734606847,-0.15245108602381913,0.04350524215855114,0.07141036247632183,5.416743000401188,-0.1977880282699101,-0.00797299231883932,-0.20576102058874943,3.254443003041227,-0.1311891791041002,3.1232538239371266
OTRTRANS,Other transportation equipment,-2.0,-25.126425334401496,-0.10563212667200748,-0.2991825037155722,0.007268698506940368,0.01884673288072167,1.4240331819635657,-0.0830488105163837,-0.09958759979652909,-0.18263641031291278,-0.2834994415746537,-0.33995705362337886,-0.6234564951980325
EDUC,Educational services,-18.689474604244438,-13.138715161807198,0.0993033116303964,-0.3745906769254044,0.011213332583748627,0.018239469471444093,1.070585663368114,-0.03626597726351975,-0.11106280556896501,-0.14732878283248477,0.193908727811403,-0.5938361230018886,-0.39992739519048565
AIRTRANS,Air transportation,-80.0,-25.707912395841,0.54292087604159,-0.97138608263894,0.005306139375961861,0.010457981840756053,1.3469489558946526,-0.07866967123039917,-0.05774009500695076,-0.13640976623734993,0.7647783103422462,-0.5613138024829205,0.20346450785932577
CHEM,Chemical products,1.1654914345043415,-5.6372047937962595,-0.039840938314024715,-0.06887658270918888,0.020919345683517575,0.04595264731474031,3.887932585199191,-0.1013651691856165,-0.016561466584589887,-0.11792663577020637,-0.7118013707595909,-0.11629709407492414,-0.828098464834515
COMPELEC,Computer and electronic products,4.270567030293888,-7.13025598848565,-0.07122669425688147,-0.016713129601108205,0.015423647867281814,0.02145675134645262,2.128946407904629,-0.10658646052402986,-0.003388097045950237,-0.10997455756998008,-0.3253654888709197,-0.010342494218101834,-0.33570798308902156
FOOD,"Food, beverage, and tobacco products",8.072316132061347,-7.62169264226169,-0.10612880346148577,-0.04630504938374805,0.014278036269920132,0.05241471062204775,2.009315184672329,-0.0964754192295268,-0.012347384754869038,-0.10882280398439584,-1.1177238719987963,-0.14305163747914837,-1.2607755094779447
