sigma,epsilon,delta_gdp_acct_pct,supply_acct_pct,demand_acct_pct,supply_share,demand_share,delta_gdp_bf_pct,bf_supply_pct,bf_demand_pct
1.0,0.3,-10.169377348362858,-4.323076947919328,-5.846300400443529,0.4251073394002131,0.5748926605997869,-74.46688880833533,-31.656420974722938,-42.81046783361239
1.0,0.8,-10.169377348362858,-6.56524503493838,-3.604132313424477,0.6455896767362362,0.35441032326376376,-49.03489339352706,-31.656420974722938,-17.37847241880412
1.0,1.5,-10.169377348362858,-7.680645896609577,-2.48873145175328,0.7552719929156788,0.24472800708432116,-41.91393467738075,-31.656420974722938,-10.25751370265781
2.0,0.3,-10.169377348362858,-1.8505530549715252,-8.318824293391334,0.18197309349224228,0.8180269065077578,-52.333813830616826,-9.523345997004437,-42.81046783361239
2.0,0.8,-10.169377348362858,-3.599998244194833,-6.569379104168026,0.3540038018919996,0.6459961981080006,-26.901818415808552,-9.523345997004437,-17.37847241880412
2.0,1.5,-10.169377348362858,-4.895970171822848,-5.273407176540011,0.4814424722484153,0.5185575277515848,-19.780859699662244,-9.523345997004437,-10.25751370265781
3.0,0.3,-10.169377348362858,-0.4853614494751868,-9.68401589888767,0.04772774505740255,0.9522722549425974,-44.95612217137733,-2.1456543377649395,-42.81046783361239
3.0,0.8,-10.169377348362858,-1.1175899896543013,-9.051787358708555,0.10989758284800194,0.890102417151998,-19.52412675656906,-2.1456543377649395,-17.37847241880412
3.0,1.5,-10.169377348362858,-1.7592254292427996,-8.410151919120057,0.17299244279946135,0.8270075572005386,-12.403168040422749,-2.1456543377649395,-10.25751370265781
