sector,label,supply_shock,demand_shock,supply_contribution_gdp_pct,demand_contribution_gdp_pct,total_contribution_gdp_pct,inflation_type
FUNDS,"Funds, trusts, and other financial vehicles",-0.010000000000000002,0.12571428571428572,0.0029915218944885353,0.025349862968635454,0.028341384863123993,Demand-Pull
PMETAL,Primary metals,-0.10666666666666666,0.26,0.02920021470746109,0.0,0.02920021470746109,Both (Mixed)
WAREHOUSE,Warehousing and storage,-0.07,0.2528571428571429,0.024800936909216767,0.005794876295292085,0.030595813204508857,Both (Mixed)
EDUC,Educational services,-0.033333333333333326,0.11714285714285715,0.01036423550945225,0.02270071349752574,0.03306494900697799,Demand-Pull
MINE_SUP,Support activities for mining,-0.075,0.3642857142857143,0.03462157809983897,0.0,0.03462157809983897,Both (Mixed)
MISCMFG,Miscellaneous manufacturing,-0.057999999999999996,0.16999999999999998,0.012475126524585533,0.023166312015403735,0.035641438539989266,Both (Mixed)
MINE,"Mining, except oil and gas",-0.12666666666666665,0.31333333333333335,0.035641438539989266,0.0,0.035641438539989266,Both (Mixed)
TRANSIT,Transit and ground passenger transportation,0.19,0.39333333333333337,0.01614684957820296,0.02357403072238748,0.03972088030059044,Neutral
RAILTRANS,Rail transportation,-0.020000000000000004,0.3342857142857143,0.008920785079949093,0.03294716983148407,0.04186795491143317,Demand-Pull
MACH,Machinery,-0.086,0.17666666666666667,0.024974744612980992,0.01785939387333141,0.042834138486312394,Both (Mixed)
OTHERTRANS,Other transportation and support activities,-0.04999999999999999,0.29500000000000004,0.020060563966326456,0.022773574519985948,0.0428341384863124,Demand-Pull
NURSING,Nursing and residential care facilities,-0.03,0.20500000000000002,0.008704870098601093,0.03531015942367482,0.04401502952227591,Demand-Pull
UTIL,Utilities,-0.095,0.22999999999999998,0.04412238325281804,0.0,0.04412238325281804,Both (Mixed)
FOOD,"Food, beverage, and tobacco products",-0.17833333333333334,0.24833333333333335,0.0385455815051607,0.009736758806165115,0.04828234031132582,Both (Mixed)
PETRO,Petroleum and coal products,-0.28,0.52,0.04122959806835478,0.009011947825365029,0.0502415458937198,Both (Mixed)
FABMETAL,Fabricated metal products,-0.098,0.22999999999999998,0.04628033513542927,0.010831849512987267,0.05711218464841654,Both (Mixed)
SOCIALAS,Social assistance,-0.019999999999999997,0.19333333333333333,0.008070164730700479,0.049471434839884594,0.05754159957058508,Demand-Pull
CHEM,Chemical products,-0.21000000000000002,0.28714285714285714,0.055343474291971825,0.006277567039214444,0.06162104133118627,Both (Mixed)
PERFORM,"Performing arts, spectator sports, museums",0.06666666666666668,0.27555555555555555,0.02028677871378356,0.057866737120891694,0.07815351583467525,Neutral
RENTAL,Rental and leasing services,-0.07,0.1988888888888889,0.035383972876189385,0.04362837280282295,0.07901234567901234,Both (Mixed)
INSURE,Insurance carriers and related activities,-0.09999999999999999,0.2,0.05289052434660853,0.035139534697943266,0.0880300590445518,Both (Mixed)
MGMT,Management of companies and enterprises,-0.039999999999999994,0.17500000000000002,0.03862776426318811,0.05793691635946354,0.09656468062265164,Demand-Pull
TRUCK,Truck transportation,-0.13999999999999999,0.32285714285714284,0.05941736114216553,0.03934807095659991,0.09876543209876544,Both (Mixed)
FEDGOV,Federal general government,0.006666666666666668,0.15999999999999998,0.011335506236645806,0.08753727959266178,0.09887278582930757,Demand-Pull
INFODATA,Information and data processing services,0.017499999999999998,0.2342857142857143,0.010476157052201108,0.08855765937291966,0.09903381642512078,Demand-Pull
BROADCAST,Broadcasting and telecommunications,0.0,0.13,0.0,0.10853462157809982,0.10853462157809982,Demand-Pull
OILGAS,Oil and gas extraction,-0.31,0.63,0.12045088566827698,0.0,0.12045088566827698,Both (Mixed)
LEGAL,Legal services,-0.045000000000000005,0.22785714285714287,0.0480947731663811,0.07321494234623299,0.12130971551261409,Demand-Pull
MOVIE,Motion picture and sound recording industries,0.21666666666666667,0.31666666666666665,0.06105501044223151,0.06132824237580392,0.12238325281803543,Neutral
PUBLISH,Publishing industries (including software),-0.010000000000000002,0.19,0.033674108089744366,0.09965922524358896,0.13333333333333333,Demand-Pull
CREDIT,"Federal Reserve banks, credit intermediation",-0.07500000000000001,0.18333333333333335,0.09547057210996819,0.06904901994585574,0.16451959205582395,Both (Mixed)
AMUSE,"Amusements, gambling, and recreation industries",0.06,0.25666666666666665,0.05363741314731231,0.1444302197029292,0.19806763285024157,Neutral
ACCOMM,Accommodation,0.014999999999999986,0.3933333333333333,0.012559359353297966,0.19973264279377662,0.2122920021470746,Demand-Pull
SLGOV,State and local general government,0.04000000000000001,0.21,0.0908808535648569,0.1231288082708919,0.21400966183574877,Demand-Pull
HOSPITAL,Hospitals,0.0049999999999999906,0.27,0.01123661647430653,0.20293407595725546,0.21417069243156198,Demand-Pull
AIRTRANS,Air transportation,0.16,0.4733333333333334,0.10773298581523935,0.12275547365872738,0.23048845947396673,Neutral
AMBULAT,Ambulatory health care services,0.0049999999999999975,0.205,0.015998248060675888,0.21491962633545936,0.23091787439613523,Demand-Pull
SECURIT,"Securities, commodity contracts, and investments",-0.024,0.1725,0.0798007346328832,0.16754226053619892,0.2473429951690821,Demand-Pull
ADMIN,Administrative and support services,-0.06666666666666668,0.21111111111111114,0.12558356513721677,0.1218667837624075,0.24745034889962428,Both (Mixed)
COMPDES,Computer systems design and related services,-0.03,0.21,0.14047325959565363,0.12361691753800179,0.2640901771336554,Demand-Pull
OTHSVC,"Other services, except government",-0.048,0.3,0.06494278341742092,0.2036562503990042,0.2685990338164251,Demand-Pull
MISCPROF,"Misc. professional, scientific, and technical svcs",-0.04666666666666667,0.19111111111111112,0.15082461217520424,0.17875134058915437,0.3295759527643586,Demand-Pull
CONST,Construction,-0.1225,0.27125,0.25795098634560987,0.1239330716254047,0.38188405797101455,Both (Mixed)
RETAIL,Retail trade,-0.07,0.16999999999999998,0.22780520761806075,0.17597901138354957,0.4037842190016103,Both (Mixed)
WHOLE,Wholesale trade,-0.05833333333333333,0.20875,0.2998818679476185,0.24217395599226335,0.5420558239398819,Both (Mixed)
FOODSVC,Food services and drinking places,-0.097,0.36833333333333335,0.24080000673695107,0.30359076084222236,0.5443907675791734,Both (Mixed)
REALE,Real estate,-0.02500000000000001,0.27249999999999996,0.2700601649763808,0.46297794559796157,0.7330381105743424,Demand-Pull
