sector,label,delta_p_pct,delta_y_pct,supply_shock,demand_shock,final_demand_share,supply_price_contrib_pct,demand_price_contrib_pct,weighted_supply_price_pct,weighted_demand_price_pct,upstream_cost_propagation_pct,total_price_contrib_pct
AIRTRANS,Air transportation,22.0,38.0,0.16,0.4733333333333334,0.006689393527496094,-6.4,28.400000000000002,-0.042812118575975,0.1899787761808891,5.181159840325219,0.1471666576049141
RENTAL,Rental and leasing services,11.0,8.0,-0.07,0.1988888888888889,0.012786753998295828,4.8275862068965525,6.172413793103448,0.06172915723315228,0.07892513674810184,1.3373878745320877,0.14065429398125412
SECURIT,"Securities, commodity contracts, and investments",6.0,9.0,-0.024,0.1725,0.02334944931103881,1.8181818181818181,4.1818181818181825,0.042453544201888745,0.09764315166434413,0.5733029647896263,0.14009669586623288
MACH,Machinery,11.0,6.0,-0.086,0.17666666666666667,0.011168808083033405,6.323529411764706,4.676470588235294,0.07062628640741712,0.05223060250595034,3.5494387996687276,0.12285688891336746
MGMT,Management of companies and enterprises,7.5,7.000000000000001,-0.039999999999999994,0.17500000000000002,0.013973490962807759,2.9629629629629624,4.537037037037037,0.041402936186097056,0.06339824603496114,1.062153137401129,0.10480118222105819
NURSING,Nursing and residential care facilities,8.0,5.0,-0.03,0.20500000000000002,0.01116877564509627,2.142857142857143,5.8571428571428585,0.02393309066806344,0.06541711449270675,1.4861362056991345,0.08935020516077019
SLGOVE,State and local government enterprises,6.0,2.0,-0.019999999999999997,0.12666666666666665,0.013021128080123323,1.2499999999999998,4.749999999999998,0.01627641010015415,0.061850358380585765,1.4173652283877898,0.07812676848073992
OTRTRANS,Other transportation equipment,9.0,5.0,-0.065,0.14555555555555555,0.008239482705453759,4.482758620689656,4.517241379310344,0.036935612127896165,0.03721973222118767,2.697284391493933,0.07415534434908383
AMUSE,"Amusements, gambling, and recreation industries",9.0,30.0,0.06,0.25666666666666665,0.008143611602436861,-3.157894736842105,12.157894736842104,-0.02571666821822166,0.09900917264015342,1.125310338906014,0.07329250442193176
MISCMFG,Miscellaneous manufacturing,9.0,8.0,-0.057999999999999996,0.16999999999999998,0.007952829159654937,4.142857142857142,4.857142857142857,0.03294743508999902,0.0386280273468954,1.5791274402001412,0.07157546243689442
