sigma,epsilon,delta_gdp_acct_pct,supply_acct_pct,demand_acct_pct,supply_share,demand_share,delta_gdp_bf_pct,bf_supply_pct,bf_demand_pct
1.0,0.3,7.5373322597960275,2.949564871124869,4.587767388671158,0.3913274311731999,0.6086725688268001,12.984720989717646,-23.378841432861318,36.363562422578966
1.0,0.8,7.5373322597960275,4.0344632828738884,3.5028689769221377,0.5352640886476017,0.4647359113523982,-3.080473935210784,-23.378841432861318,20.298367497650535
1.0,1.5,7.5373322597960275,4.497672248919312,3.039660010876714,0.5967193821227442,0.40328061787725566,-7.578728514190739,-23.378841432861318,15.80011291867058
2.0,0.3,7.5373322597960275,3.856240987354094,3.6810912724419325,0.5116188134525,0.48838118654749985,-1.730211809521437,-38.0937742321004,36.363562422578966
2.0,0.8,7.5373322597960275,4.9171930487815265,2.620139211014501,0.6523784383248874,0.34762156167511266,-17.795406734449866,-38.0937742321004,20.298367497650535
2.0,1.5,7.5373322597960275,5.327606684107764,2.2097255756882634,0.7068292202700293,0.29317077972997074,-22.293661313429823,-38.0937742321004,15.80011291867058
3.0,0.3,7.5373322597960275,4.083750358818052,3.4535819009779747,0.5418031497166035,0.45819685028339646,-6.635189409267794,-42.99875183184676,36.363562422578966
3.0,0.8,7.5373322597960275,5.1202311060324845,2.417101153763542,0.6793160934862444,0.32068390651375545,-22.700384334196226,-42.99875183184676,20.298367497650535
3.0,1.5,7.5373322597960275,5.511941101044651,2.0253911587513755,0.7312854085583078,0.26871459144169213,-27.198638913176175,-42.99875183184676,15.80011291867058
