sector,label,delta_p_pct,delta_y_pct,supply_shock,demand_shock,va_share,domar_weight,leontief_multiplier,supply_contribution_gdp_pct,demand_contribution_gdp_pct,total_contribution_gdp_pct,bf_supply_contrib_pp,bf_demand_contrib_pp,bf_total_contrib_pp
MISCMFG,Miscellaneous manufacturing,-2.0,-12.0,-0.028,-0.13999999999999999,0.004455179817498658,0.01057434245840043,1.1870725635163544,-0.012827355529976273,-0.040634802280007626,-0.053462157809983896,-0.03514703306686103,-0.1113396082351691,-0.14648664130203012
OTHERTRANS,Other transportation and support activities,-3.0,-15.0,-0.045,-0.21749999999999997,0.0030595813204508855,0.007085346215780998,1.3365977303676455,-0.02377913335146512,-0.022114586455298166,-0.04589371980676328,-0.042616159518968404,-0.039633014801060344,-0.08224917432002875
APPAREL,Apparel and leather and allied products,-5.0,-30.0,-0.06999999999999999,-0.28076923076923077,0.0014492753623188406,0.003542673107890499,1.0634585302587478,-0.011358914079981717,-0.032119346789583496,-0.043478260869565216,-0.026372401555530937,-0.0745726488704643,-0.10094505042599525
RAILTRANS,Rail transportation,-5.0,-15.0,-0.04999999999999999,-0.2642857142857143,0.0027911969940955447,0.0051529790660225444,1.3891670593824537,-0.019312073417026173,-0.022555881494406994,-0.04186795491143317,-0.035791743881029396,-0.04180360730955539,-0.07759535119058478
PLASTIC,Plastics and rubber products,-2.0,-8.0,-0.012,-0.12,0.00499194847020934,0.014331723027375202,1.6632629471081057,-0.01670184830694782,-0.023233739454726895,-0.03993558776167472,-0.028604908655579023,-0.03979194294044199,-0.06839685159602102
FURN,Furniture and related products,-2.0,-15.0,-0.039999999999999994,-0.145,0.002522812667740204,0.006548577563070317,1.1171049043469623,-0.01101944958621397,-0.02682274042988909,-0.03784219001610306,-0.029261792448809314,-0.07122692083909865,-0.10048871328790795
ELECEQUIP,"Electrical equipment, appliances, and components",-2.0,-10.0,-0.02,-0.12000000000000001,0.0036500268384326356,0.008964036500268384,1.4819308240631923,-0.020341212495746018,-0.016159055888580343,-0.03650026838432636,-0.026568163995550523,-0.021105745144290308,-0.04767390913984083
SOCIALAS,Social assistance,0.0,-5.0,-0.025,-0.08333333333333334,0.007192699946323135,0.010305958132045089,1.1838978872734212,-0.01154952966820793,-0.024413970063407748,-0.035963499731615674,-0.03050300514714129,-0.06447876891092746,-0.09498177405806874
TEXTILE,Textile mills and textile product mills,-3.0,-20.0,-0.05,-0.28,0.0017176596886741813,0.004884594739667203,1.6311617098898386,-0.014230690625672763,-0.020122503147810868,-0.03435319377348363,-0.03983781953837233,-0.056331535141142926,-0.09616935467951526
PRINT,Printing and related support activities,-3.0,-15.0,-0.03,-0.21749999999999997,0.0022544283413848632,0.0051529790660225444,1.092151727488217,-0.005656289446916957,-0.028160135673855995,-0.03381642512077295,-0.016883504966001425,-0.08405542095303628,-0.10093892591903769
CREDIT,"Federal Reserve banks, credit intermediation",2.0,-1.0,-0.025,0.003333333333333334,0.03290391841116479,0.05115405260332796,2.1553946722601105,-0.03165512501925012,-0.001248793391914671,-0.03290391841116479,-0.2756429311143163,0.0108741023987181,-0.2647688287155982
WOOD,Wood products,-2.0,-10.0,-0.02,-0.13111111111111112,0.0031132581857219537,0.008158883521202361,1.9558641808279045,-0.031132581857219538,-0.0,-0.031132581857219538,-0.03191533606933349,-0.0,-0.03191533606933349
NMMIN,Nonmetallic mineral products,-2.0,-12.0,-0.039999999999999994,-0.19142857142857142,0.0022544283413848632,0.004884594739667203,1.2980573760797753,-0.027053140096618356,-0.0,-0.027053140096618356,-0.025361936923941928,-0.0,-0.025361936923941928
FARM,Farms,-3.0,-3.0,0.015,-0.09,0.006548577563070317,0.011808910359634998,2.7769943383559443,-0.01964573268921095,-0.0,-0.01964573268921095,0.04918991581628887,-0.0,0.04918991581628887
PAPER,Paper products,-1.5,-5.0,-0.010000000000000002,-0.08642857142857144,0.0036500268384326356,0.010037573805689749,1.8146450978843933,-0.008903668645328022,-0.009346465546835159,-0.01825013419216318,-0.018214634101147698,-0.019120483573242166,-0.037335117674389864
WASTE,Waste management and remediation services,-1.0,-5.0,-0.015000000000000001,-0.09333333333333334,0.0033279656468062266,0.005743424584004294,1.1022054366021705,-0.0031776159694741775,-0.013462212264556957,-0.016639828234031134,-0.009495650701806139,-0.04022904799252908,-0.04972469869433521
SLGOVE,State and local government enterprises,0.0,-2.0,-0.04,-0.06666666666666667,0.008266237251744498,0.01728395061728395,1.3058016466659366,-0.008428220722651904,-0.00810425378083709,-0.016532474503488995,-0.09027764470776845,-0.08680752053415548,-0.17708516524192391
WAREHOUSE,Warehousing and storage,-2.0,-5.0,0.0,-0.09142857142857144,0.0030595813204508855,0.005743424584004294,1.2525176356467422,-0.0,-0.015297906602254429,-0.015297906602254429,0.0,-0.004254373372330326,-0.004254373372330326
FEDGOVE,Federal government enterprises,0.0,-3.0,-0.06,-0.1,0.003864734299516908,0.006816961889425657,1.121239032725507,-0.005479607481260851,-0.006114595417289873,-0.011594202898550725,-0.04586066253015761,-0.051175088343418176,-0.09703575087357579
FOREST,"Forestry, fishing, and related activities",-2.0,-5.0,-0.005000000000000001,-0.10333333333333335,0.001932367149758454,0.0029522275899087494,2.31734784185117,-0.00966183574879227,-0.0,-0.00966183574879227,-0.0034206691170642614,-0.0,-0.0034206691170642614
WATERTRANS,Water transportation,-4.0,-8.0,-0.013333333333333336,-0.13999999999999999,0.0011808910359634996,0.0027375201288244765,1.1507458239675157,-0.009447128287707997,-0.0,-0.009447128287707997,-0.00420025314169571,-0.0,-0.00420025314169571
PIPE,Pipeline transportation,-5.0,-5.0,0.0,-0.15000000000000002,0.0017176596886741813,0.003542673107890499,2.011112883879321,-0.0,-0.0,-0.008588298443370907,0.0,-0.0,0.0
SECURIT,"Securities, commodity contracts, and investments",1.0,0.0,-0.01,0.01,0.0274825550187869,0.038808373590982284,2.05973607877341,0.0,0.0,0.0,-0.07993500724386342,0.02334944931103881,-0.056585557932824604
FUNDS,"Funds, trusts, and other financial vehicles",0.0,2.0,0.01,0.028571428571428574,0.0047235641438539986,0.006280193236714976,1.1125226815254334,0.0032288085534167977,0.0062183197342912,0.009447128287707997,0.006986857420208036,0.013455896395833831,0.020442753816041867
INSURE,Insurance carriers and related activities,1.0,1.0,-0.005,0.03,0.02200751476113795,0.04176060118089103,1.9481963065699637,0.007352633463080739,0.014654881298057209,0.02200751476113795,-0.040678924490376585,0.08107908720494245,0.04040016271456586
INFODATA,Information and data processing services,1.5,5.0,-0.0024999999999999988,0.08642857142857144,0.006602254428341385,0.01057434245840043,1.1888603495134207,0.001446024035466454,0.03156524810624047,0.033011272141706925,-0.003142854117742133,0.06860533957601106,0.06546248545826892
PUBLISH,Publishing industries (including software),1.0,3.0,-0.0025000000000000005,0.0475,0.011111111111111112,0.02050456253354804,1.832259778565991,0.008418527022436091,0.02491480631089724,0.03333333333333333,-0.009392421301827814,0.02779706674359158,0.01840464544176376
BROADCAST,Broadcasting and telecommunications,1.0,2.5,0.0025000000000000005,0.05166666666666667,0.01808910359634997,0.03344068706387547,1.6665324601652833,0.004687194498585731,0.0405355644922892,0.04522275899087493,0.01393249762054444,0.12049033937180348,0.13442283699234792
COMPDES,Computer systems design and related services,1.0,3.0,-0.0025000000000000005,0.0475,0.02200751476113795,0.03344068706387547,2.279651298231063,0.019483837541104707,0.04653870674230913,0.06602254428341385,-0.01905827641972561,0.045522219913828474,0.026463943494102866
FEDGOV,Federal general government,0.0,2.0,0.06666666666666667,0.09999999999999999,0.049436392914653786,0.0704777241009125,2.296788037428375,0.06668653980762776,0.0321862460216798,0.09887278582930757,1.079149290801022,0.5208512042766095,1.6000004950776316
