Sector,Output Chg (%),Price Chg (%),Supply Shock,Demand Shock,Domar Weight,Leontief Mult.,Supply → GDP (%),Demand → GDP (%),Total → GDP (%)
"Misc. professional, scientific, and technical svcs",-4.7295684469212,-9.990032550247246,0.08413509734606847,-0.15245108602381913,0.07141036247632183,5.416743000401188,-0.1977880282699101,-0.00797299231883932,-0.20576102058874943
Other transportation equipment,-25.126425334401496,-2.0,-0.10563212667200748,-0.2991825037155722,0.01884673288072167,1.4240331819635657,-0.0830488105163837,-0.09958759979652909,-0.18263641031291278
Educational services,-13.138715161807198,-18.689474604244438,0.0993033116303964,-0.3745906769254044,0.018239469471444093,1.070585663368114,-0.03626597726351975,-0.11106280556896501,-0.14732878283248477
Air transportation,-25.707912395841,-80.0,0.54292087604159,-0.97138608263894,0.010457981840756053,1.3469489558946526,-0.07866967123039917,-0.05774009500695076,-0.13640976623734993
Chemical products,-5.6372047937962595,1.1654914345043415,-0.039840938314024715,-0.06887658270918888,0.04595264731474031,3.887932585199191,-0.1013651691856165,-0.016561466584589887,-0.11792663577020637
Computer and electronic products,-7.13025598848565,4.270567030293888,-0.07122669425688147,-0.016713129601108205,0.02145675134645262,2.128946407904629,-0.10658646052402986,-0.003388097045950237,-0.10997455756998008
"Food, beverage, and tobacco products",-7.62169264226169,8.072316132061347,-0.10612880346148577,-0.04630504938374805,0.05241471062204775,2.009315184672329,-0.0964754192295268,-0.012347384754869038,-0.10882280398439584
Petroleum and coal products,-11.545275590551201,-31.657640504675495,0.23960790110974695,-0.5474819168577789,0.02765446407077499,2.468066459276546,-0.07666539163458264,-0.02688370523690294,-0.10354909687148557
Machinery,-11.9391962056159,-2.0,-0.0277567848224636,-0.15265773561795443,0.021614153046346625,1.9644008401771138,-0.041505274752171986,-0.05986764080683621,-0.1013729155590082
Social assistance,-15.5001490850019,-13.847939597655099,0.06097865055154149,-0.39681521405991593,0.00993726441722506,1.0008183705601665,-0.013662857823841662,-0.08641930610963078,-0.10008216393347243
